i,t,capcost,fom,vom,heatrate
Nuclear-SMR,2010,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2011,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2012,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2013,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2014,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2015,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2016,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2017,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2018,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2019,7624.567702,129.5986335,3.415967332,10.455
Nuclear-SMR,2020,7699.675484,128.9042058,3.37433865,10.455
Nuclear-SMR,2021,8658.389123,128.304,3.3804,10.455
Nuclear-SMR,2022,10000.0,216.0,2.8,9.18
Nuclear-SMR,2023,10000.0,216.0,2.8,9.18
Nuclear-SMR,2024,10000.0,216.0,2.8,9.18
Nuclear-SMR,2025,10000.0,216.0,2.8,9.18
Nuclear-SMR,2026,10000.0,216.0,2.8,9.18
Nuclear-SMR,2027,10000.0,216.0,2.8,9.18
Nuclear-SMR,2028,10000.0,216.0,2.8,9.18
Nuclear-SMR,2029,10000.0,216.0,2.8,9.18
Nuclear-SMR,2030,10000.0,216.0,2.8,9.18
Nuclear-SMR,2031,9900.0,216.0,2.8,9.18
Nuclear-SMR,2032,9800.0,216.0,2.8,9.18
Nuclear-SMR,2033,9700.0,216.0,2.8,9.18
Nuclear-SMR,2034,9600.0,216.0,2.8,9.18
Nuclear-SMR,2035,9500.0,216.0,2.8,9.18
Nuclear-SMR,2036,9200.0,216.0,2.8,9.18
Nuclear-SMR,2037,8900.0,216.0,2.8,9.18
Nuclear-SMR,2038,8600.0,216.0,2.8,9.18
Nuclear-SMR,2039,8300.0,216.0,2.8,9.18
Nuclear-SMR,2040,8000.0,216.0,2.8,9.18
Nuclear-SMR,2041,7800.0,216.0,2.8,9.18
Nuclear-SMR,2042,7600.0,216.0,2.8,9.18
Nuclear-SMR,2043,7400.0,216.0,2.8,9.18
Nuclear-SMR,2044,7200.0,216.0,2.8,9.18
Nuclear-SMR,2045,7000.0,216.0,2.8,9.18
Nuclear-SMR,2046,6850.0,216.0,2.8,9.18
Nuclear-SMR,2047,6700.0,216.0,2.8,9.18
Nuclear-SMR,2048,6550.0,216.0,2.8,9.18
Nuclear-SMR,2049,6400.0,216.0,2.8,9.18
Nuclear-SMR,2050,6250.0,216.0,2.8,9.18
Nuclear-SMR-TES,2010,10,10,1,10.455
Nuclear-SMR-TES,2011,10,10,1,10.455
Nuclear-SMR-TES,2012,10,10,1,10.455
Nuclear-SMR-TES,2013,10,10,1,10.455
Nuclear-SMR-TES,2014,10,10,1,10.455
Nuclear-SMR-TES,2015,10,10,1,10.455
Nuclear-SMR-TES,2016,10,10,1,10.455
Nuclear-SMR-TES,2017,10,10,1,10.455
Nuclear-SMR-TES,2018,10,10,1,10.455
Nuclear-SMR-TES,2019,10,10,1,10.455
Nuclear-SMR-TES,2020,10,10,1,10.455
Nuclear-SMR-TES,2021,10,10,1,10.455
Nuclear-SMR-TES,2022,10,10,1,9.18
Nuclear-SMR-TES,2023,10,10,1,9.18
Nuclear-SMR-TES,2024,10,10,1,9.18
Nuclear-SMR-TES,2025,10,10,1,9.18
Nuclear-SMR-TES,2026,10,10,1,9.18
Nuclear-SMR-TES,2027,10,10,1,9.18
Nuclear-SMR-TES,2028,10,10,1,9.18
Nuclear-SMR-TES,2029,10,10,1,9.18
Nuclear-SMR-TES,2030,10,10,1,9.18
Nuclear-SMR-TES,2031,10,10,1,9.18
Nuclear-SMR-TES,2032,10,10,1,9.18
Nuclear-SMR-TES,2033,10,10,1,9.18
Nuclear-SMR-TES,2034,10,10,1,9.18
Nuclear-SMR-TES,2035,10,10,1,9.18
Nuclear-SMR-TES,2036,10,10,1,9.18
Nuclear-SMR-TES,2037,10,10,1,9.18
Nuclear-SMR-TES,2038,10,10,1,9.18
Nuclear-SMR-TES,2039,10,10,1,9.18
Nuclear-SMR-TES,2040,10,10,1,9.18
Nuclear-SMR-TES,2041,10,10,1,9.18
Nuclear-SMR-TES,2042,10,10,1,9.18
Nuclear-SMR-TES,2043,10,10,1,9.18
Nuclear-SMR-TES,2044,10,10,1,9.18
Nuclear-SMR-TES,2045,10,10,1,9.18
Nuclear-SMR-TES,2046,10,10,1,9.18
Nuclear-SMR-TES,2047,10,10,1,9.18
Nuclear-SMR-TES,2048,10,10,1,9.18
Nuclear-SMR-TES,2049,10,10,1,9.18
Nuclear-SMR-TES,2050,10,10,1,9.18
